Timestamp,title,genres
1/13/2025 13:14:25,Succession,Drama
1/13/2025 13:14:28,Bojack Horseman,"Comedy, Drama"
1/13/2025 13:14:28,Big Bang Theory,Comedy
1/13/2025 13:14:31,Gilmore Girls,"Comedy, Drama, Family"
1/13/2025 13:14:33,The Wire,"Action, Crime, Drama, Mystery"
1/13/2025 13:14:33,Mad Men,"Drama, History"
1/13/2025 13:14:34,The Sopranos,Drama
1/13/2025 13:14:34,SATC,"Comedy, Drama, Romance"
1/13/2025 13:14:35,Yellowjackets,"Horror, Mystery, Thriller"
1/13/2025 13:14:37,Severance,"Adventure, Animation, Comedy, Documentary, Drama, Fantasy, Mystery, Sci-Fi, Short, Thriller"
1/13/2025 13:14:38,Westworld,"Drama, Sci-Fi, Western"
1/13/2025 13:14:39,Boston Legal,Drama
1/13/2025 13:14:42,Manifest,"Fantasy, Mystery, Sci-Fi"
1/13/2025 13:14:43,3 Body Problem,"Sci-Fi, Thriller"
1/13/2025 13:14:43,Star Trek (TNG),Sci-Fi
1/13/2025 13:14:44,Silicon Valley ,"Comedy, Drama"
1/13/2025 13:14:45,Shogun,Action
1/13/2025 13:14:45,The Detectorists,Comedy
1/13/2025 13:14:46,The Simpsons,Comedy
1/13/2025 13:14:47,Homeland,"Action, Adventure, Drama, Thriller, War"
1/13/2025 13:14:46,Babylon Berlin,"Documentary, Drama, History"
1/13/2025 13:14:52,Friends,Family
1/13/2025 13:14:53,Simpsons,Comedy
1/13/2025 13:14:53,Avatar the Last Airbender,Animation
1/13/2025 13:14:56,NBC Hannibal,"Crime, Drama, Horror, Thriller"
1/13/2025 13:15:03,Lincoln Lawyer,Crime
1/13/2025 13:15:04,Scrubs,"Comedy, Drama, Short"
1/13/2025 13:15:06,Seinfeld,"Action, Documentary, Drama, History, News, Reality-TV"
1/13/2025 13:15:08,Better Call Saul,"Action, Adventure, Biography, Drama, History, Sci-Fi"
1/13/2025 13:15:09,Game of Thrones,War
1/13/2025 13:15:09,big bang theory,"Comedy, Crime, Documentary, Music, Thriller, War, Western"
1/13/2025 13:15:16,Shrinking,"Comedy, Drama"
1/13/2025 13:16:49,Gilmore Girls,"Comedy, Drama, Family"
