Timestamp,title,genres
1/9/2023 13:12:23,Corner Gas,Comedy
1/9/2023 13:12:25,Ted Lasso,Comedy
1/9/2023 13:12:27,Frasier,Comedy
1/9/2023 13:12:30,Sopranos,"Crime, Drama, Family"
1/9/2023 13:12:32,Adventure Time,Animation
1/9/2023 13:12:32,30 Rock,Comedy
1/9/2023 13:12:32,30 Rock,Comedy
1/9/2023 13:12:35,Gossip Girl,Drama
1/9/2023 13:12:35,The Simpsons,Animation
1/9/2023 13:12:37,Better Call Saul,"Crime, Drama"
1/9/2023 13:12:38,How to Get Away with Murder,"Action, Crime, Drama, Mystery, Thriller"
1/9/2023 13:12:38,Fleabag,"Comedy, Drama"
1/9/2023 13:12:38,Parks and Recreation,"Comedy, Documentary"
1/9/2023 13:12:45,Dave,Comedy
1/9/2023 13:12:47,Love Island,"Adventure, Comedy, Crime, Mystery, Reality-TV, Romance"
1/9/2023 13:12:48,The Wire,"Action, Crime, Drama"
1/9/2023 13:12:49,Atlanta,"Comedy, Fantasy, Horror, Sci-Fi, Thriller"
1/9/2023 13:12:49,Stranger Things,"Drama, Mystery, Sci-Fi, Thriller"
1/9/2023 13:12:50,Emilly in Paris,"Comedy, Romance"
1/9/2023 13:12:51,How to get away with murder?,Crime
1/9/2023 13:12:51,Community,Comedy
1/9/2023 13:12:53,Better Call Saul,"Action, Adventure, Crime, Drama, Thriller, Western"
1/9/2023 13:12:55,The Last Kingdom,"Action, Adventure, Drama, History, Thriller, War"
1/9/2023 13:12:55,It's Always Sunny in Philadelphia ,Comedy
1/9/2023 13:12:56,Wednesday ,"Comedy, Fantasy, Horror, Mystery, Thriller"
1/9/2023 13:12:57,the office,Comedy
1/9/2023 13:12:58,The Office,"Comedy, Documentary, News, Talk-Show"
1/9/2023 13:12:58,South Park,"Animation, Comedy"
1/9/2023 13:13:02,White Lotus,Drama
1/9/2023 13:13:04,Derry Girls ,Comedy
1/9/2023 13:13:07,The Americans,Action
1/9/2023 13:13:08,Real Housewives,"Comedy, Reality-TV, War"
1/9/2023 13:13:10,Friends,Comedy
1/9/2023 13:13:11,The Big Bang Theory,Comedy
1/9/2023 13:13:11,the west wing ,"Comedy, History"
1/9/2023 13:13:11,Sex Education,Musical
1/9/2023 13:13:13,One Tree Hill,"Drama, Fantasy, Romance, Sci-Fi"
1/9/2023 13:13:14,Turn,"Drama, History, War"
1/9/2023 13:13:16,New Girl,"Comedy, Drama, Romance"
1/9/2023 13:13:19,Stranger Things,"Adventure, Drama, Fantasy, Sci-Fi"
1/9/2023 13:13:20,Desperate Housewives,"Comedy, Drama"
1/9/2023 13:13:20,Stargate,Sci-Fi
1/9/2023 13:13:31,The Bold Type [(or Never Have I ever) or Living Single],"Comedy, Romance"
1/9/2023 13:13:40,Biohackers,Sci-Fi
1/9/2023 13:13:53,Last Man Standing,Comedy
1/9/2023 13:14:03,Parasyte,Sci-Fi
1/9/2023 13:14:19,Friends,Comedy
1/9/2023 13:14:22,The Queen's gambit,Drama
1/9/2023 13:14:30,Deadwood,Western
1/9/2023 13:14:34,Breaking Bad,Drama
1/9/2023 13:14:42,House MD,"Drama, Mystery"
1/9/2023 13:14:55,The Office,Comedy
1/9/2023 13:14:57,Bull,"Action, Adventure, Horror, Sport, Talk-Show"
1/9/2023 13:15:23,Succession,Drama
1/9/2023 13:15:46,The Office,Comedy
1/9/2023 13:22:22,White Lotus,Action
1/9/2023 19:37:25,Black Mirror,"Action, Adventure, Crime, Documentary, History, Sport"
1/10/2023 9:30:04,Newsroom,"Crime, Documentary, Drama, Reality-TV, Thriller"
