Timestamp,language,problem
10/24/2022 8:33:26,C,Credit
10/24/2022 10:32:26,Python,Runoff
10/24/2022 11:10:47,Python,Mario
10/24/2022 11:22:35,Python,Scratch
10/24/2022 11:39:06,Python,Readability
10/24/2022 11:53:00,Scratch,Scratch
10/24/2022 13:26:23,C,Bulbs
10/24/2022 13:32:09,Python,Filter
10/24/2022 13:36:35,Python,DNA
10/24/2022 13:37:20,Scratch,Scratch
10/24/2022 13:37:22,Scratch,Scratch
10/24/2022 13:37:23,Python,Hello
10/24/2022 13:37:24,Python,DNA
10/24/2022 13:37:25,Python,Hello
10/24/2022 13:37:26,Scratch,Cash
10/24/2022 13:37:28,Python,Readability
10/24/2022 13:37:29,Scratch,Scratch
10/24/2022 13:37:30,Python,DNA
10/24/2022 13:37:30,C,Speller
10/24/2022 13:37:30,Python,Mario
10/24/2022 13:37:30,Scratch,Filter
10/24/2022 13:37:30,Python,Readability
10/24/2022 13:37:30,Python,Filter
10/24/2022 13:37:31,Python,Scratch
10/24/2022 13:37:31,Python,DNA
10/24/2022 13:37:31,Python,Hello
10/24/2022 13:37:32,Scratch,Scratch
10/24/2022 13:37:32,Python,Mario
10/24/2022 13:37:33,Python,Recover
10/24/2022 13:37:33,Scratch,Scratch
10/24/2022 13:37:33,Python,Hello
10/24/2022 13:37:34,C,Cash
10/24/2022 13:37:34,Scratch,Scratch
10/24/2022 13:37:34,C,Hello
10/24/2022 13:37:34,C,Speller
10/24/2022 13:37:34,C,Hello
10/24/2022 13:37:34,Python,Filter
10/24/2022 13:37:34,Scratch,Scratch
10/24/2022 13:37:34,C,Filter
10/24/2022 13:37:35,Scratch,Hello
10/24/2022 13:37:35,Python,Cash
10/24/2022 13:37:36,Python,Hello
10/24/2022 13:37:36,Python,Wordle50
10/24/2022 13:37:36,Python,DNA
10/24/2022 13:37:36,Python,Filter
10/24/2022 13:37:37,Python,Speller
10/24/2022 13:37:37,Scratch,Hello
10/24/2022 13:37:38,Python,Scratch
10/24/2022 13:37:38,C,Filter
10/24/2022 13:37:38,Python,Hello
10/24/2022 13:37:39,Python,Recover
10/24/2022 13:37:39,Python,Mario
10/24/2022 13:37:40,C,Speller
10/24/2022 13:37:40,Python,Readability
10/24/2022 13:37:40,Python,Caesar
10/24/2022 13:37:41,Scratch,Readability
10/24/2022 13:37:42,C,Wordle50
10/24/2022 13:37:42,Python,Scratch
10/24/2022 13:37:42,Python,Plurality
10/24/2022 13:37:42,Python,DNA
10/24/2022 13:37:44,Python,Caesar
10/24/2022 13:37:44,Scratch,Scratch
10/24/2022 13:37:44,C,Readability
10/24/2022 13:37:44,C,Filter
10/24/2022 13:37:44,Python,Cash
10/24/2022 13:37:44,Python,Substitution
10/24/2022 13:37:44,Python,DNA
10/24/2022 13:37:45,Python,Scratch
10/24/2022 13:37:46,Python,Scratch
10/24/2022 13:37:46,Scratch,Scratch
10/24/2022 13:37:46,Python,Cash
10/24/2022 13:37:47,Python,Speller
10/24/2022 13:37:47,Scratch,Filter
10/24/2022 13:37:47,C,Filter
10/24/2022 13:37:47,C,Hello
10/24/2022 13:37:48,Python,Wordle50
10/24/2022 13:37:48,C,Mario
10/24/2022 13:37:48,Python,Hello
10/24/2022 13:37:49,Python,Filter
10/24/2022 13:37:49,Python,Speller
10/24/2022 13:37:49,Python,DNA
10/24/2022 13:37:49,Python,Filter
10/24/2022 13:37:49,Python,Wordle50
10/24/2022 13:37:49,Python,Scratch
10/24/2022 13:37:50,Python,Wordle50
10/24/2022 13:37:50,Python,Filter
10/24/2022 13:37:50,Python,DNA
10/24/2022 13:37:50,Python,Cash
10/24/2022 13:37:51,C,Recover
10/24/2022 13:37:51,Scratch,Caesar
10/24/2022 13:37:51,Python,Readability
10/24/2022 13:37:51,C,DNA
10/24/2022 13:37:51,Python,Reverse
10/24/2022 13:37:52,C,Speller
10/24/2022 13:37:52,C,Readability
10/24/2022 13:37:52,Scratch,Tideman
10/24/2022 13:37:52,Scratch,Scratch
10/24/2022 13:37:53,C,Bulbs
10/24/2022 13:37:53,Python,Scratch
10/24/2022 13:37:53,Python,Readability
10/24/2022 13:37:53,C,DNA
10/24/2022 13:37:53,Python,Readability
10/24/2022 13:37:53,C,Tideman
10/24/2022 13:37:54,Python,Wordle50
10/24/2022 13:37:54,Python,Caesar
10/24/2022 13:37:54,Python,Runoff
10/24/2022 13:37:55,Python,Mario
10/24/2022 13:37:55,C,Recover
10/24/2022 13:37:55,C,Wordle50
10/24/2022 13:37:56,C,Filter
10/24/2022 13:37:56,Python,Hello
10/24/2022 13:37:56,Python,Filter
10/24/2022 13:37:57,Python,Recover
10/24/2022 13:37:57,Python,DNA
10/24/2022 13:37:57,C,Reverse
10/24/2022 13:37:57,Python,Readability
10/24/2022 13:37:57,Python,Scratch
10/24/2022 13:37:57,Python,Filter
10/24/2022 13:37:58,Python,DNA
10/24/2022 13:37:58,C,Cash
10/24/2022 13:37:58,C,Speller
10/24/2022 13:37:58,Python,Filter
10/24/2022 13:37:58,Scratch,Readability
10/24/2022 13:37:58,C,Credit
10/24/2022 13:37:58,Python,Mario
10/24/2022 13:37:58,C,Filter
10/24/2022 13:37:59,Python,Wordle50
10/24/2022 13:37:59,C,Wordle50
10/24/2022 13:37:59,Python,Tideman
10/24/2022 13:37:59,Python,Bulbs
